"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"South Carolina","United States","342","5","0","337","2020-03-25 01:00:00 * CTY: Kershaw 58; Richland 45; Greenville 39; Charleston 36; Beaufort 22; Horry 19; Lexington 19; Anderson 16; York 11; Darlington 8; Sumter 8; Orangeburg 8; Lancaster 7; Florence 5; Clarendon 5; Spartanburg 4; Berkeley 4; Dorchester 3; Georgetown 2; Fairfield 2; Aiken 2; Greenwood 2; Jasper 2; Oconee 2; Lee 2; Dillon 1; Colleton 1; Marlboro 1; Edgefield 1; Pickens 1; Calhoun 1; Chesterfield 1; Saluda 1; Abbeville 1; Newberry 1; Chester 1"
"Arizona","United States","326","5","0","321","2020-03-25 01:00:00 * CTY: Maricopa 199; Pima 42; Navajo 32; Pinal 22; Coconino 18; Apache 4; Yavapai 3; Yuma 2; Graham 2; Cochise 1; Santa Cruz 1"
"Mississippi","United States","320","1","0","319","2020-03-25 01:00:00 * CTY: Hinds 31; DeSoto 29; Harrison 24; Madison 14; Forrest 14; Rankin 13; Pearl River 13; Lee 12; Coahoma 11; Tippah 11; Leflore 10; Jackson 10; Lafayette 8; Pike 7; Chickasaw 6; Holmes 6; Lowndes 6; Hancock 5; Oktibbeha 5; Washington 5; Copiah 5; Bolivar 4; Lincoln 4; Wilkinson 4; Attala 3; Yazoo 3; Monroe 3; Marshall 3; Tunica 3; Franklin 3; Sunflower 3; Itawamba 3; Grenada 2; Montgomery 2; Leake 2; Lawrence 2; Tallahatchie 2; Pontotoc 2; Walthall 2; Adams 2; Winston 2; Lamar 2; Scott 2; Webster 2; Panola 2; Humphreys 1; Tate 1; Jones 1; Noxubee 1; George 1; Simpson 1; Union 1; Perry 1; Marion 1; Newton 1; Clay 1; Choctaw 1; Smith 1"
"Hebei","Mainland China","319","6","310","3","2020-03-22 18:00:00"
"Fujian","Mainland China","318","1","295","22","2020-03-24 02:00:00"
"Lebanon","Lebanon","318","4","8","306","2020-03-24 20:00:00"
"Iraq","Iraq","316","27","75","214","2020-03-24 14:00:00"
"Dominican Republic","Dominican Republic","312","6","3","303","2020-03-24 18:00:00"
"Serbia","Serbia","303","3","15","285","2020-03-24 18:00:00"
"Utah","United States","298","1","0","297","2020-03-25 01:00:00 * CTY: Salt Lake 124; Summit 82; Davis 31; Wasatch 15; Utah 13; Non-Utah resident 13; Weber-Morgan 9; Southwest Utah 5; Cache 3; Tooele 2; Box Elder 1"
